title,media,date,datetime,desc,link,img
The sun rises over Normandy's beaches on D-Day's 80th anniversary,AP News,1 hour ago,2024-06-06 06:29:31.332376,The sun is rising again over Normandy beaches where soldiers fought and died exactly 80 years ago on D-Day.,https://apnews.com/article/d-day-france-russia-ukraine-wwii-7b6896a9d891fb2d2f75b29e1cfd67ad&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIBBAC&usg=AOvVaw1uNkC-NgfgPtA4MDDs2MSE,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Slamming China over its stance on Russia and the war, Ukraine might have made a big miscalculation",CNBC,1 hour ago,2024-06-06 06:29:31.351189,"Ukrainian President Volodymyr Zelenskyy's very public criticism of China over its relationship with Russia, and cool stance toward a forthcoming peace...",https://www.cnbc.com/2024/06/06/ukraines-criticism-of-china-and-its-stance-on-russia-could-backfire.html&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQICRAC&usg=AOvVaw2a6AR5W8aHpDPfVdhlqJEM,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Putin warns Russia could provide weapons to strike NATO allies, Western targets",Australian Broadcasting Corporation,1 hour ago,2024-06-06 06:29:31.365780,Russia could arm countries with long-range weapons to strike Western targets in response to NATO allies allowing Ukraine to use their arms to attack Russian...,https://www.abc.net.au/news/2024-06-06/putin-warns-russie-could-provide-weapons-to-strike-west/103944466&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIAxAC&usg=AOvVaw3ep3selsU24gnj-RtVHen9,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Ukraine-bound passenger train collides with freighter in Czechia, at least 4 dead",The Kyiv Independent,2 hours ago,2024-06-06 05:29:31.380362,Ukrainian Railways said there were no fatalities or injuries in the car trains with passengers heading to Chop.,https://kyivindependent.com/ukraine-bound-passenger-train-collides-with-freighter-in-czechia-casualties-reported/&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIBxAC&usg=AOvVaw2qafPFFrr1P4wB1uVxM-Kl,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"General Staff: Russia has lost 515,000 troops in Ukraine since Feb. 24, 2022",The Kyiv Independent,2 hours ago,2024-06-06 05:29:31.394730,This number includes 1300 casualties Russian forces suffered just over the past day.,https://kyivindependent.com/general-staff-russia-has-lost-515-000-troops-in-ukraine-since-feb-24-2022/&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIABAC&usg=AOvVaw1ou0yhMU6fCyfIGPn3M4ru,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Russian war losses in Ukraine reach 515K,Ukrinform,2 hours ago,2024-06-06 05:29:31.409768,"The total combat losses the Russian invasion troops sustained in Ukraine from February 24, 2022 to June 6, 2024 amount to an estimated 515000,...",https://www.ukrinform.net/rubric-ato/3871895-russian-war-losses-in-ukraine-reach-515k.html&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIBhAC&usg=AOvVaw138ujTD4tfJnYtT94zdUCr,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
France to provide Ukraine over $700 million in critical infrastructure support,The Kyiv Independent,2 hours ago,2024-06-06 05:29:31.423915,"The funds will primarily focus on projects related to Ukraine's transportation and energy infrastructure, hit hard by heavy Russian assaults in 2024.",https://kyivindependent.com/france-to-provide-ukraine-over-700-million-in-critical-infrastructure-support/&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIAhAC&usg=AOvVaw1E75kO6cQo3gqIx9y5V36B,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Russia could hand others long-range weapons to strike West: Putin,Euronews.com,2 hours ago,2024-06-06 05:29:31.438970,It comes after NATO allies allowed Ukraine to use similar arms to strike targets deep within Russian territory. ADVERTISEMENT. Russian President Vladimir...,https://www.euronews.com/2024/06/05/putin-warns-germany-ukraine-using-its-weapons-would-be-a-dangerous-step&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIARAC&usg=AOvVaw1NSdDe6hlM3vMsUxUzSf_z,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
At least four dead as Ukraine-bound passenger train collides with freighter in Czechia,Ukrinform,3 hours ago,2024-06-06 04:29:31.453651,"In the Czech Republic, a passenger train heading to Chop, Ukraine, collided with a freight train, leaving four passengers killed and killing four people and...",https://www.ukrinform.net/rubric-emergencies/3871890-at-least-four-dead-as-ukrainebound-passenger-train-collides-with-freighter-in-czechia.html&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIBRAC&usg=AOvVaw14RSSRuwXCVnfQt3gq51w6,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Slovakia's Fico says he was targeted for Ukraine views, in first speech since assassination attempt",AP News,3 hours ago,2024-06-06 04:29:31.470700,Slovakia's populist Prime Minister Robert Fico says he believes he was targeted for having a Ukraine position contrary to the European mainstream but bears...,https://apnews.com/article/slovakia-prime-minister-fico-speech-online-878f0271e2ec3d3c378abe966415e20b&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQICBAC&usg=AOvVaw04-8Wa2uykPy8Bn2q8DjC7,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Biden Will Link Fight for Ukraine With Allied Effort on D-Day,The New York Times,3 hours ago,2024-06-06 04:29:31.966374,President Biden sees similar principles at stake in both conflicts: the defense of freedom and a rules-based international order.,https://www.nytimes.com/2024/06/06/world/europe/biden-dday-ukraine-russia.html&ved=2ahUKEwinu-CmusaGAxV54MkDHSVIB6M4ChDF9AF6BAgGEAI&usg=AOvVaw3VFyDcoHMstfmyld0JMrEV,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Trump's plan to end the Ukraine war: Bankrupt Putin's regime,POLITICO.eu,3 hours ago,2024-06-06 04:29:31.980881,The conviction of Donald Trump in a criminal trial in New York has electrified the race for the White House. But will it make a difference to how the...,https://www.politico.eu/podcast/trumps-plan-to-end-the-ukraine-war-bankrupt-putins-regime/&ved=2ahUKEwinu-CmusaGAxV54MkDHSVIB6M4ChDF9AF6BAgJEAI&usg=AOvVaw3AqqfjQ0nh63sHio0Oi987,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Ukrainian-Russian man arrested after explosion in Paris hotel room,YouTube,3 hours ago,2024-06-06 04:29:31.993394,A 26-year-old Ukrainian-Russian man was arrested over a possible bomb plot after a homemade device exploded in his Paris hotel room.,https://www.youtube.com/watch%3Fv%3DPq5f4GdBno8&ved=2ahUKEwinu-CmusaGAxV54MkDHSVIB6M4ChDF9AF6BAgEEAI&usg=AOvVaw3OikaGj_OTcBPCapGDoHrn,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Russia launches swarm of Shahed drones at Ukraine overnight Thursday,Ukrinform,3 hours ago,2024-06-06 04:29:32.006190,An air alert was declared in a number of regions of Ukraine due to the threat of Russian drone attacks. — Ukrinform.,https://www.ukrinform.net/rubric-ato/3871879-russia-launches-swarm-of-shahed-drones-at-ukraine-overnight-thursday.html&ved=2ahUKEwinu-CmusaGAxV54MkDHSVIB6M4ChDF9AF6BAgIEAI&usg=AOvVaw2yKvadI15C7yvgC0xvLkDJ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Western artillery shells reach the front in Ukraine but it will take time to see their effect – ISW,Українська правда,4 hours ago,2024-06-06 03:29:32.019027,"Artillery shells supplied by the West have started arriving at Ukrainian forces' frontline positions, albeit in insufficient quantities.",https://www.pravda.com.ua/eng/news/2024/06/6/7459423/&ved=2ahUKEwinu-CmusaGAxV54MkDHSVIB6M4ChDF9AF6BAgAEAI&usg=AOvVaw1kzpxZnuyFbK4ncrQitTrs,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Putin warns Russia could arm enemies of Western nations supplying weapons to Ukraine,CNN,4 hours ago,2024-06-06 03:29:32.031230,"Russian President Vladimir Putin has warned Western countries they're taking a “very serious and dangerous step” by supplying weapons to Ukraine,...",https://www.cnn.com/2024/06/05/europe/putin-russia-western-nations-ukraine-intl-hnk/index.html&ved=2ahUKEwinu-CmusaGAxV54MkDHSVIB6M4ChDF9AF6BAgBEAI&usg=AOvVaw1UuhXiY_KIieeLqAK-YvBB,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Putin touts sending long-range weapons to those who want to strike West,Business Insider,4 hours ago,2024-06-06 03:29:32.044527,"Putin said Russia was thinking about sending weapons to ""some regions of the world"" to strike ""sensitive facilities"" of Ukraine's allies.",https://www.businessinsider.com/putin-weapons-russia-ukraine-war-strike-western-facilities-2024-6&ved=2ahUKEwinu-CmusaGAxV54MkDHSVIB6M4ChDF9AF6BAgDEAI&usg=AOvVaw3md-NPyaZL6zovnxWI3qdk,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Ukraine war briefing: Russian oil refinery burns again in drone attack,The Guardian,4 hours ago,2024-06-06 03:29:32.062158,"Ukraine rations power as generation falls far short of needs; US to reportedly release $225m more in weapons, France to sign €650m deal.",https://www.theguardian.com/world/article/2024/jun/06/ukraine-war-briefing-power-cuts-ordered-as-russian-attacks-create-catastrophic-shortages&ved=2ahUKEwinu-CmusaGAxV54MkDHSVIB6M4ChDF9AF6BAgHEAI&usg=AOvVaw0l9k-yW5VbW4dOyd6sI3A2,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
12 EU countries urge Belgium to speed up Ukraine and Moldova EU accession talks,The Kyiv Independent,5 hours ago,2024-06-06 02:29:32.074320,Czech Minister for European Affairs Martín Dvořák has urged the Belgian Presidency of the Council of the European Union to advance accession negotiations...,https://kyivindependent.com/12-eu-countries-urge-belgium-to-speed-up-ukraine-and-moldova-eu-accession-process/&ved=2ahUKEwinu-CmusaGAxV54MkDHSVIB6M4ChDF9AF6BAgFEAI&usg=AOvVaw0gB5dJKr6-U9CfOtMpV4ab,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Putin says no talks with Japan unless it alters stance on Ukraine,Kyodo News+ | Japan's leading news agency.,5 hours ago,2024-06-06 02:29:32.086233,Russian President Vladimir Putin says the conditions are not currently in place for his country to resume talks with Japan on a post-World War II peace...,https://english.kyodonews.net/news/2024/06/dad26cd4671c-update1-putin-says-no-talks-with-japan-unless-it-alters-stance-on-ukraine.html&ved=2ahUKEwinu-CmusaGAxV54MkDHSVIB6M4ChDF9AF6BAgCEAI&usg=AOvVaw3Ssact5nYqbBfQ7BceSqWc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The sun rises over Normandy's beaches on D-Day's 80th anniversary,AP News,1 hour ago,2024-06-06 06:29:32.493673,The sun is rising again over Normandy beaches where soldiers fought and died exactly 80 years ago on D-Day.,https://apnews.com/article/d-day-france-russia-ukraine-wwii-7b6896a9d891fb2d2f75b29e1cfd67ad&ved=2ahUKEwj8-oWnusaGAxV34skDHarrDi4QxfQBegQIAhAC&usg=AOvVaw0gGufO1AO64f5bcISXldZ3,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Slamming China over its stance on Russia and the war, Ukraine might have made a big miscalculation",CNBC,1 hour ago,2024-06-06 06:29:32.505847,"Ukrainian President Volodymyr Zelenskyy's very public criticism of China over its relationship with Russia, and cool stance toward a forthcoming peace...",https://www.cnbc.com/2024/06/06/ukraines-criticism-of-china-and-its-stance-on-russia-could-backfire.html&ved=2ahUKEwj8-oWnusaGAxV34skDHarrDi4QxfQBegQICRAC&usg=AOvVaw15NgwTer_SLKfbOnMRyBHf,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Putin warns Russia could provide weapons to strike NATO allies, Western targets",Australian Broadcasting Corporation,1 hour ago,2024-06-06 06:29:32.518429,Russia could arm countries with long-range weapons to strike Western targets in response to NATO allies allowing Ukraine to use their arms to attack Russian...,https://www.abc.net.au/news/2024-06-06/putin-warns-russie-could-provide-weapons-to-strike-west/103944466&ved=2ahUKEwj8-oWnusaGAxV34skDHarrDi4QxfQBegQICBAC&usg=AOvVaw1PnDwSIQizuSBUCdcyOf90,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Ukraine-bound passenger train collides with freighter in Czechia, at least 4 dead",The Kyiv Independent,2 hours ago,2024-06-06 05:29:32.530617,Ukrainian Railways said there were no fatalities or injuries in the car trains with passengers heading to Chop.,https://kyivindependent.com/ukraine-bound-passenger-train-collides-with-freighter-in-czechia-casualties-reported/&ved=2ahUKEwj8-oWnusaGAxV34skDHarrDi4QxfQBegQIAxAC&usg=AOvVaw3hydt5zAvf3cmQcpHE9kgW,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"General Staff: Russia has lost 515,000 troops in Ukraine since Feb. 24, 2022",The Kyiv Independent,2 hours ago,2024-06-06 05:29:32.542964,This number includes 1300 casualties Russian forces suffered just over the past day.,https://kyivindependent.com/general-staff-russia-has-lost-515-000-troops-in-ukraine-since-feb-24-2022/&ved=2ahUKEwj8-oWnusaGAxV34skDHarrDi4QxfQBegQIBBAC&usg=AOvVaw3kHufIv2HLNNwrfgHItCVE,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Russian war losses in Ukraine reach 515K,Ukrinform,2 hours ago,2024-06-06 05:29:32.555200,"The total combat losses the Russian invasion troops sustained in Ukraine from February 24, 2022 to June 6, 2024 amount to an estimated 515000,...",https://www.ukrinform.net/rubric-ato/3871895-russian-war-losses-in-ukraine-reach-515k.html&ved=2ahUKEwj8-oWnusaGAxV34skDHarrDi4QxfQBegQIBxAC&usg=AOvVaw086qCqwMsPjBpSIjmK-JbL,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
France to provide Ukraine over $700 million in critical infrastructure support,The Kyiv Independent,2 hours ago,2024-06-06 05:29:32.567153,"The funds will primarily focus on projects related to Ukraine's transportation and energy infrastructure, hit hard by heavy Russian assaults in 2024.",https://kyivindependent.com/france-to-provide-ukraine-over-700-million-in-critical-infrastructure-support/&ved=2ahUKEwj8-oWnusaGAxV34skDHarrDi4QxfQBegQIBRAC&usg=AOvVaw2Kt6LxMBvOUNwW1Wp2P-N0,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Russia could hand others long-range weapons to strike West: Putin,Euronews.com,2 hours ago,2024-06-06 05:29:32.579438,It comes after NATO allies allowed Ukraine to use similar arms to strike targets deep within Russian territory. ADVERTISEMENT. Russian President Vladimir...,https://www.euronews.com/2024/06/05/putin-warns-germany-ukraine-using-its-weapons-would-be-a-dangerous-step&ved=2ahUKEwj8-oWnusaGAxV34skDHarrDi4QxfQBegQIARAC&usg=AOvVaw2R9Yxt2w0ha1dhvCOKTNdD,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
At least four dead as Ukraine-bound passenger train collides with freighter in Czechia,Ukrinform,3 hours ago,2024-06-06 04:29:32.591562,"In the Czech Republic, a passenger train heading to Chop, Ukraine, collided with a freight train, leaving four passengers killed and killing four people and...",https://www.ukrinform.net/rubric-emergencies/3871890-at-least-four-dead-as-ukrainebound-passenger-train-collides-with-freighter-in-czechia.html&ved=2ahUKEwj8-oWnusaGAxV34skDHarrDi4QxfQBegQIBhAC&usg=AOvVaw3Tnp4B79HZVG_SaAbdofYa,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Slovakia's Fico says he was targeted for Ukraine views, in first speech since assassination attempt",AP News,3 hours ago,2024-06-06 04:29:32.605343,Slovakia's populist Prime Minister Robert Fico says he believes he was targeted for having a Ukraine position contrary to the European mainstream but bears...,https://apnews.com/article/slovakia-prime-minister-fico-speech-online-878f0271e2ec3d3c378abe966415e20b&ved=2ahUKEwj8-oWnusaGAxV34skDHarrDi4QxfQBegQIABAC&usg=AOvVaw1Z58mAQgl3YVTVJfCle4lb,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The sun rises over Normandy's beaches on D-Day's 80th anniversary,AP News,1 hour ago,2024-06-06 06:29:31.332376,The sun is rising again over Normandy beaches where soldiers fought and died exactly 80 years ago on D-Day.,https://apnews.com/article/d-day-france-russia-ukraine-wwii-7b6896a9d891fb2d2f75b29e1cfd67ad&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIBBAC&usg=AOvVaw1uNkC-NgfgPtA4MDDs2MSE,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Slamming China over its stance on Russia and the war, Ukraine might have made a big miscalculation",CNBC,1 hour ago,2024-06-06 06:29:31.351189,"Ukrainian President Volodymyr Zelenskyy's very public criticism of China over its relationship with Russia, and cool stance toward a forthcoming peace...",https://www.cnbc.com/2024/06/06/ukraines-criticism-of-china-and-its-stance-on-russia-could-backfire.html&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQICRAC&usg=AOvVaw2a6AR5W8aHpDPfVdhlqJEM,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Putin warns Russia could provide weapons to strike NATO allies, Western targets",Australian Broadcasting Corporation,1 hour ago,2024-06-06 06:29:31.365780,Russia could arm countries with long-range weapons to strike Western targets in response to NATO allies allowing Ukraine to use their arms to attack Russian...,https://www.abc.net.au/news/2024-06-06/putin-warns-russie-could-provide-weapons-to-strike-west/103944466&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIAxAC&usg=AOvVaw3ep3selsU24gnj-RtVHen9,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Ukraine-bound passenger train collides with freighter in Czechia, at least 4 dead",The Kyiv Independent,2 hours ago,2024-06-06 05:29:31.380362,Ukrainian Railways said there were no fatalities or injuries in the car trains with passengers heading to Chop.,https://kyivindependent.com/ukraine-bound-passenger-train-collides-with-freighter-in-czechia-casualties-reported/&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIBxAC&usg=AOvVaw2qafPFFrr1P4wB1uVxM-Kl,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"General Staff: Russia has lost 515,000 troops in Ukraine since Feb. 24, 2022",The Kyiv Independent,2 hours ago,2024-06-06 05:29:31.394730,This number includes 1300 casualties Russian forces suffered just over the past day.,https://kyivindependent.com/general-staff-russia-has-lost-515-000-troops-in-ukraine-since-feb-24-2022/&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIABAC&usg=AOvVaw1ou0yhMU6fCyfIGPn3M4ru,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Russian war losses in Ukraine reach 515K,Ukrinform,2 hours ago,2024-06-06 05:29:31.409768,"The total combat losses the Russian invasion troops sustained in Ukraine from February 24, 2022 to June 6, 2024 amount to an estimated 515000,...",https://www.ukrinform.net/rubric-ato/3871895-russian-war-losses-in-ukraine-reach-515k.html&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIBhAC&usg=AOvVaw138ujTD4tfJnYtT94zdUCr,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
France to provide Ukraine over $700 million in critical infrastructure support,The Kyiv Independent,2 hours ago,2024-06-06 05:29:31.423915,"The funds will primarily focus on projects related to Ukraine's transportation and energy infrastructure, hit hard by heavy Russian assaults in 2024.",https://kyivindependent.com/france-to-provide-ukraine-over-700-million-in-critical-infrastructure-support/&ved=2ahUKEwiHtKOkusaGAxXI78kDHYsMJI0QxfQBegQIAhAC&usg=AOvVaw1E75kO6cQo3gqIx9y5V36B,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
